"지역별",2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
"지역별",계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,계,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2
"계",41,0,1,6,34,49,0,1,10,38,38,1,2,6,29,42,1,0,5,36,37,0,1,14,22,50,0,0,7,43,42,0,1,1,40,46,0,1,9,36,60,0,1,9,50,42,0,0,5,37,52,0,1,13,38,56,0,0,9,47,93,0,3,15,75,49,1,0,7,41,44,0,0,5,39,252,3,1,30,218,223,1,1,17,204,115,0,1,4,110,88,0,2,12,74,68,0,0,5,63
"서울·경기·인천",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,4,2,0,0,0,2
"부산·울산·경남",2,0,0,0,2,5,0,0,2,3,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,6,5,0,0,0,5,1,0,0,0,1,5,0,0,2,3,1,0,0,0,1
"대구·경북",8,0,0,3,5,4,0,0,0,4,8,0,0,2,6,4,0,0,1,3,3,0,0,0,3,2,0,0,0,2,5,0,0,0,5,3,0,0,0,3,10,0,1,1,8,5,0,0,0,5,4,0,0,1,3,11,0,0,0,11,6,0,0,1,5,10,0,0,2,8,6,0,0,0,6,179,2,1,21,155,121,1,1,9,110,35,0,1,0,34,11,0,0,1,10,12,0,0,1,11
"광주·전남",3,0,0,0,3,5,0,0,1,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,1,1,0,0,0,1,1,0,0,0,1,6,0,0,1,5,2,0,0,0,2,0,0,0,0,0,6,0,0,1,5
"전북",4,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
"대전·충남·세종",4,0,0,0,4,5,0,0,1,4,5,0,0,1,4,2,0,0,0,2,1,0,0,0,1,4,0,0,0,4,2,0,0,0,2,2,0,0,1,1,2,0,0,0,2,5,0,0,0,5,2,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,6,0,0,2,4,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2
"충북",1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1
"강원",2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,3,0,0,1,2,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1
"제주",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"북한",1,0,0,0,1,4,0,0,2,2,0,0,0,0,0,4,0,0,0,4,3,0,0,1,2,5,0,0,2,3,6,0,0,0,6,11,0,0,4,7,13,0,0,2,11,10,0,0,0,10,10,0,0,2,8,7,0,0,1,6,7,0,0,1,6,7,0,0,0,7,3,0,0,0,3,23,0,0,5,18,25,0,0,2,23,13,0,0,1,12,21,0,0,5,16,20,0,0,2,18
"서해",10,0,0,2,8,13,0,1,3,9,14,1,2,3,8,8,0,0,1,7,10,0,0,6,4,9,0,0,1,8,4,0,0,0,4,12,0,0,2,10,14,0,0,4,10,4,0,0,1,3,13,0,1,3,9,11,0,0,0,11,52,0,2,8,42,12,1,0,0,11,7,0,0,2,5,6,0,0,1,5,21,0,0,3,18,20,0,0,3,17,16,0,0,2,14,11,0,0,1,10
"남해",2,0,0,0,2,2,0,0,0,2,4,0,0,0,4,10,0,0,1,9,9,0,1,5,3,6,0,0,0,6,2,0,0,0,2,5,0,1,1,3,10,0,0,0,10,7,0,0,2,5,10,0,0,3,7,8,0,0,3,5,5,0,1,0,4,7,0,0,1,6,12,0,0,1,11,12,0,0,0,12,17,0,0,1,16,13,0,0,0,13,11,0,0,0,11,3,0,0,0,3
"동해",3,0,1,0,2,5,0,0,1,4,4,0,0,0,4,5,1,0,1,3,7,0,0,1,6,13,0,0,3,10,11,0,0,1,10,6,0,0,1,5,4,0,0,1,3,7,0,0,1,6,10,0,0,4,6,9,0,0,2,7,15,0,0,3,12,7,0,0,2,5,8,0,0,1,7,15,1,0,1,13,20,0,0,1,19,18,0,0,0,18,16,0,2,2,12,7,0,0,0,7
