MATH,ENGLISH,KOREAN
79,81,73
75,89,90
75,80,80
100,100,100
79,80,80
92,99,95
100,100,100
74,81,75
78,80,82
74,78,80
77,77,77
76,80,80
100,100,100
67,72,66
71,74,64
91,100,88
79,87,81
86,87,85
84,88,82
93,95,87
89,100,98
90,81,80
98,99,97
96,100,100
72,79,77
74,73,68
100,100,100
77,72,65
57,61,63
92,91,89
78,90,88
80,80,80
63,79,74
82,86,88
90,96,95
77,80,78
92,97,93
76,75,70
82,88,89
74,81,72
77,80,79
100,100,100
88,90,90
50,56,61
76,81,72
100,100,96
91,100,94
95,100,100
99,100,100
90,93,87
86,92,88
93,100,100
100,100,100
100,100,100
20,20,20
56,52,60
85,91,89
92,83,90
100,100,100
100,100,100
75,78,64
99,100,100
91,98,100
75,80,80
28,46,56
70,74,58
100,100,100
100,100,100
70,64,59
76,93,100
66,64,57
83,81,80
100,100,100
83,83,82
100,100,100
54,63,66
100,100,100
100,100,100
80,80,80
100,100,97
100,100,100
86,86,80
81,86,81
83,88,87
77,75,62
68,71,63
75,86,76
81,92,92
100,100,96
86,93,93
78,84,78
86,98,98
57,58,49
79,83,72
100,100,100
82,81,80
88,94,93
81,85,74
82,87,90
68,63,62
76,77,92
75,82,75
71,71,66
75,77,80
83,80,80
72,80,80
80,80,80
89,97,99
100,100,100
100,100,100
100,100,100
70,70,59
92,100,100
60,60,60
100,100,100
60,60,60
87,90,89
73,80,80
81,80,80
89,98,99
35,48,50
75,73,78
96,100,100
86,96,92
89,93,98
62,62,60
91,89,80
82,87,78
96,100,98
61,60,61
95,100,100
75,80,82
80,78,78
70,78,78
92,99,100
71,69,70
78,80,77
57,59,55
100,100,90
80,80,80
80,80,80
74,78,77
78,80,81
80,84,75
81,87,82
41,40,40
100,100,100
79,84,80
87,97,93
91,99,100
86,87,80
77,77,78
84,90,86
89,90,92
100,100,100
79,76,72
84,85,84
83,93,85
79,82,78
99,100,100
100,100,100
100,100,100
72,88,82
81,81,72
83,87,85
79,79,80
91,93,83
61,60,60
100,100,100
82,83,80
79,79,81
78,80,80
75,84,80
83,80,80
87,97,100
82,84,79
77,76,76
100,100,100
80,80,80
79,83,74
100,100,100
100,100,100
93,96,91
74,78,77
67,70,67
77,83,80
90,90,91
74,79,75
70,81,89
87,88,80
75,74,74
68,75,62
76,85,87
70,73,62
70,71,67
81,80,80
94,100,100
100,100,100
92,100,100
99,100,100
